Date,value,volume,time,tuesday,wednesday,thursday,friday,month_cos_embed,month_sin_embed,day_cos_embed,day_sin_embed
2010-06-29,1.5926669836044312,281494500,0,1,0,0,0,-0.8660254037844387,0.49999999999999994,0.913545457642601,-0.40673664307580015
2010-06-30,1.5886670351028442,257806500,1,0,1,0,0,-0.8660254037844387,0.49999999999999994,0.9781476007338057,-0.20791169081775898
2010-07-01,1.4639999866485596,123282000,2,0,0,1,0,-1.0,1.2246467991473532e-16,1.0,0.0
2010-07-02,1.2799999713897705,77097000,3,0,0,0,1,-1.0,1.2246467991473532e-16,0.9795299412524945,0.20129852008866006
2010-07-06,1.0740000009536743,103003500,4,1,0,0,0,-1.0,1.2246467991473532e-16,0.5289640103269624,0.8486442574947509
2010-07-07,1.053333044052124,103825500,5,0,1,0,0,-1.0,1.2246467991473532e-16,0.3473052528448203,0.9377521321470804
2010-07-08,1.1640000343322754,115671000,6,0,0,1,0,-1.0,1.2246467991473532e-16,0.1514277775045767,0.9884683243281114
2010-07-09,1.159999966621399,60759000,7,0,0,0,1,-1.0,1.2246467991473532e-16,-0.05064916883871264,0.9987165071710528
2010-07-12,1.136667013168335,33037500,8,0,0,0,0,-1.0,1.2246467991473532e-16,-0.6121059825476626,0.7907757369376989
2010-07-13,1.2093329429626465,40201500,9,1,0,0,0,-1.0,1.2246467991473532e-16,-0.7587581226927909,0.6513724827222223
2010-07-14,1.3226670026779175,62928000,10,0,1,0,0,-1.0,1.2246467991473532e-16,-0.8743466161445821,0.48530196253108104
2010-07-15,1.3259999752044678,56097000,11,0,0,1,0,-1.0,1.2246467991473532e-16,-0.9541392564000488,0.29936312297335804
2010-07-16,1.3760000467300415,39319500,12,0,0,0,1,-1.0,1.2246467991473532e-16,-0.994869323391895,0.10116832198743272
2010-07-19,1.4606670141220093,37297500,13,0,0,0,0,-1.0,1.2246467991473532e-16,-0.8743466161445822,-0.4853019625310808
2010-07-20,1.3533329963684082,27379500,14,1,0,0,0,-1.0,1.2246467991473532e-16,-0.7587581226927911,-0.651372482722222
2010-07-21,1.3480000495910645,18787500,15,0,1,0,0,-1.0,1.2246467991473532e-16,-0.6121059825476627,-0.7907757369376986
2010-07-22,1.399999976158142,14367000,16,0,0,1,0,-1.0,1.2246467991473532e-16,-0.44039415155763423,-0.8978045395707417
2010-07-23,1.4193329811096191,9804000,17,0,0,0,1,-1.0,1.2246467991473532e-16,-0.2506525322587213,-0.9680771188662041
2010-07-26,1.3966670036315918,13833000,18,0,0,0,0,-1.0,1.2246467991473532e-16,0.3473052528448203,-0.9377521321470804
2010-07-27,1.3700000047683716,9295500,19,1,0,0,0,-1.0,1.2246467991473532e-16,0.5289640103269624,-0.848644257494751
2010-07-28,1.3813329935073853,7008000,20,0,1,0,0,-1.0,1.2246467991473532e-16,0.6889669190756865,-0.72479278722912
2010-07-29,1.3566670417785645,9240000,21,0,0,1,0,-1.0,1.2246467991473532e-16,0.8207634412072763,-0.5712682150947924
2010-07-30,1.329332947731018,6403500,22,0,0,0,1,-1.0,1.2246467991473532e-16,0.9189578116202306,-0.3943558551133187
2010-08-02,1.3946670293807983,10771500,23,0,0,0,0,-0.8660254037844388,-0.4999999999999997,0.9795299412524945,0.20129852008866006
2010-08-03,1.463333010673523,18457500,24,1,0,0,0,-0.8660254037844388,-0.4999999999999997,0.9189578116202306,0.39435585511331855
2010-08-04,1.4173330068588257,13695000,25,0,1,0,0,-0.8660254037844388,-0.4999999999999997,0.8207634412072763,0.5712682150947923
2010-08-05,1.363332986831665,11943000,26,0,0,1,0,-0.8660254037844388,-0.4999999999999997,0.6889669190756866,0.7247927872291199
2010-08-06,1.305999994277954,11128500,27,0,0,0,1,-0.8660254037844388,-0.4999999999999997,0.5289640103269624,0.8486442574947509
2010-08-09,1.3066669702529907,12190500,28,0,0,0,0,-0.8660254037844388,-0.4999999999999997,-0.05064916883871264,0.9987165071710528
2010-08-10,1.2686669826507568,19219500,29,1,0,0,0,-0.8660254037844388,-0.4999999999999997,-0.2506525322587204,0.9680771188662043
2010-08-11,1.1933330297470093,11964000,30,0,1,0,0,-0.8660254037844388,-0.4999999999999997,-0.4403941515576344,0.8978045395707416
2010-08-12,1.1733330488204956,10365000,31,0,0,1,0,-0.8660254037844388,-0.4999999999999997,-0.6121059825476626,0.7907757369376989
2010-08-13,1.2213330268859863,9510000,32,0,0,0,1,-0.8660254037844388,-0.4999999999999997,-0.7587581226927909,0.6513724827222223
2010-08-16,1.2519999742507935,7287000,33,0,0,0,0,-0.8660254037844388,-0.4999999999999997,-0.994869323391895,0.10116832198743272
2010-08-17,1.2766669988632202,6718500,34,1,0,0,0,-0.8660254037844388,-0.4999999999999997,-0.9948693233918952,-0.10116832198743204
2010-08-18,1.2513329982757568,9019500,35,0,1,0,0,-0.8660254037844388,-0.4999999999999997,-0.9541392564000488,-0.2993631229733582
2010-08-19,1.25266695022583,8686500,36,0,0,1,0,-0.8660254037844388,-0.4999999999999997,-0.8743466161445822,-0.4853019625310808
2010-08-20,1.273332953453064,4440000,37,0,0,0,1,-0.8660254037844388,-0.4999999999999997,-0.7587581226927911,-0.651372482722222
2010-08-23,1.3420000076293945,16321500,38,0,0,0,0,-0.8660254037844388,-0.4999999999999997,-0.2506525322587213,-0.9680771188662041
2010-08-24,1.2799999713897705,10096500,39,1,0,0,0,-0.8660254037844388,-0.4999999999999997,-0.05064916883871355,-0.9987165071710528
2010-08-25,1.3266669511795044,7549500,40,0,1,0,0,-0.8660254037844388,-0.4999999999999997,0.15142777750457667,-0.9884683243281114
